Price,Model,Leather_interior,Fuel_type,Mileage,Gear_box_type,Airbags,Car_age
44752,H1,Yes,Diesel,86000,Automatic,4,8
17158,Elantra,Yes,Petrol,122740,Automatic,4,14
25591,Korando,Yes,Diesel,85704,Automatic,4,11
14897,Santa FE,Yes,Diesel,58962,Automatic,4,14
23521,Camry,Yes,Hybrid,90000,Tiptronic,12,11
16935,Fusion,Yes,Petrol,71454,Automatic,0,9
19444,Camry,Yes,Petrol,0,Tiptronic,6,12
51965,Santa FE,Yes,Diesel,59515,Automatic,4,8
706,Camry,Yes,Hybrid,115312,Automatic,12,10
13328,H1,Yes,Diesel,74444,Automatic,4,16
20071,RAV 4,No,Petrol,135000,Automatic,8,16
22894,H1,Yes,Diesel,124444,Automatic,4,13
2901,Civic,Yes,Hybrid,146403,Automatic,0,12
39829,GX 460,Yes,Petrol,155821,Automatic,0,14
706,GX 460,Yes,Petrol,102907,Automatic,0,9
18660,Sonata,Yes,Petrol,130000,Tiptronic,6,11
22580,E 300,Yes,Petrol,50930,Automatic,12,7
18817,Camry,Yes,Hybrid,35058,Automatic,12,6
9095,500,No,Petrol,141000,Automatic,4,13
1568,Jetta,Yes,Diesel,82392,Automatic,12,10
862,Camry,Yes,Hybrid,130478,Automatic,12,10
21395,H1,Yes,Diesel,166144,Automatic,4,12
627,Volt,Yes,Hybrid,188419,Automatic,0,12
40070,Aqua,Yes,Petrol,25807,Automatic,4,8
35927,REXTON,Yes,Diesel,137267,Automatic,4,11
21012,Prius,No,Hybrid,160000,Automatic,4,10
21012,Tacoma,Yes,Petrol,27358,Automatic,12,6
15624,Genesis,Yes,Petrol,107005,Automatic,4,13
20005,Elantra,Yes,Petrol,104997,Automatic,4,12
36110,Passat,Yes,Petrol,27728,Tiptronic,8,7
43880,Santa FE,Yes,Diesel,113700,Automatic,4,8
29479,C 250,Yes,Petrol,69000,Tiptronic,8,10
17249,Camry,Yes,Hybrid,152000,Variator,12,13
44213,Santa FE,Yes,Diesel,50255,Automatic,4,8
627,A6,Yes,Petrol,164488,Automatic,12,10
21950,Transit,No,Diesel,125000,Manual,2,13
706,500,Yes,Petrol,164574,Automatic,12,12
3136,Cruze,Yes,Petrol,156992,Automatic,12,10
1490,Jetta,Yes,Diesel,113214,Automatic,12,10
706,Sonata,Yes,Petrol,175827,Automatic,12,11
5802,E 350,Yes,Diesel,107800,Automatic,12,11
25716,Camry,No,Petrol,115200,Automatic,8,10
14426,Orlando,Yes,LPG,132036,Automatic,4,12
45436,Explorer,Yes,Petrol,129177,Automatic,4,13
41281,Santa FE,Yes,Diesel,185811,Automatic,4,9
6586,CT 200h,Yes,Hybrid,122302,Automatic,0,13
12544,Prius,No,Hybrid,140000,Automatic,6,17
30063,Tucson,Yes,Diesel,120000,Automatic,4,10
21639,Veloster,No,Petrol,17200,Tiptronic,10,9
12231,Aqua,No,Hybrid,66000,Variator,4,10
5620,FIT,Yes,Petrol,110467,Automatic,4,11
9408,FIT,No,Hybrid,64000,Variator,4,12
15367,Passat,Yes,Diesel,179200,Tiptronic,16,11
26594,H1,Yes,Diesel,179918,Automatic,4,10
14000,Elantra,No,Petrol,50000,Tiptronic,10,11
17923,Cruze,Yes,Petrol,127842,Automatic,4,10
54518,Tucson,Yes,Petrol,40193,Automatic,4,7
7527,Passat,Yes,Diesel,132310,Automatic,12,11
3450,Camry,Yes,Petrol,60762,Automatic,12,7
22063,Tucson,Yes,Diesel,142264,Automatic,4,14
2901,Civic,Yes,Hybrid,146403,Automatic,0,12
16900,FIT,Yes,Petrol,70000,Automatic,4,11
42651,GLA 250,Yes,Petrol,44995,Automatic,0,7
15524,Prius,No,Hybrid,122324,Automatic,7,12
17249,530,Yes,Petrol,111111,Tiptronic,10,17
862,Fusion,Yes,Hybrid,186048,Automatic,0,10
28909,Elantra,Yes,Diesel,98000,Automatic,4,7
14426,Sonata,Yes,LPG,169024,Automatic,4,10
22580,Camry,Yes,Petrol,156666,Automatic,12,11
862,Volt,Yes,Hybrid,133195,Automatic,0,10
7464,FIT,Yes,Hybrid,114950,Automatic,4,10
1333,Fusion,Yes,Petrol,154850,Automatic,12,8
59865,Tucson,Yes,Diesel,13000,Automatic,4,5
49237,Tacoma,Yes,Petrol,94262,Automatic,12,7
68223,H1,Yes,Diesel,27406,Automatic,4,6
22266,Fusion,Yes,Petrol,85500,Automatic,8,11
2430,E 350,Yes,Diesel,175614,Automatic,12,16
33556,C 300,Yes,Petrol,0,Automatic,12,9
39161,Actyon,Yes,Diesel,73000,Automatic,4,7
16308,Transit,No,Diesel,180000,Manual,2,16
17719,Camry,Yes,Hybrid,92000,Tiptronic,8,15
43278,GX 460,Yes,Petrol,160138,Automatic,0,13
20385,Cruze,No,Petrol,42000,Tiptronic,12,7
49858,Tucson,Yes,Diesel,48000,Automatic,4,5
51075,Tucson,Yes,Diesel,40800,Automatic,4,7
15241,Genesis,Yes,Petrol,117492,Automatic,4,13
2587,Fusion,Yes,Hybrid,88795,Automatic,0,9
15524,H1,Yes,Diesel,56769,Automatic,4,16
27911,C 250,Yes,Petrol,70000,Tiptronic,8,10
4861,Camry,Yes,Hybrid,136861,Automatic,12,11
18208,Elantra,Yes,Petrol,95665,Automatic,4,12
549,Sonata,Yes,Hybrid,107387,Automatic,12,7
4924,Captiva,Yes,Diesel,183923,Automatic,4,17
43576,H1,Yes,Diesel,97129,Automatic,4,8
28225,CHR,No,Petrol,24000,Automatic,8,6
18817,Cruze,Yes,Petrol,29094,Automatic,0,7
4861,Fusion,Yes,Hybrid,148709,Automatic,12,9
13172,RX 450,Yes,Hybrid,186005,Automatic,12,14
39201,Camry,Yes,Hybrid,35000,Automatic,10,9
36426,Elantra,Yes,LPG,35643,Automatic,4,6
12701,Cr-v,Yes,Petrol,117158,Automatic,12,9
12231,Elantra,No,Petrol,77000,Manual,0,11
5802,Prius,Yes,Hybrid,140000,Variator,12,17
2901,Sonata,Yes,Petrol,45494,Automatic,12,6
1882,Prius,Yes,Hybrid,47672,Automatic,12,7
11290,FIT,No,Hybrid,145000,Automatic,8,11
14426,Camry,Yes,Hybrid,188800,Variator,8,18
36065,Outlander,Yes,Petrol,39000,Variator,12,8
21639,Forester,No,Petrol,34000,Variator,7,8
7840,I30,Yes,Petrol,140000,Automatic,4,15
1646,GLE 350,Yes,Petrol,59099,Automatic,0,8
24198,Tucson,Yes,Diesel,124000,Automatic,4,11
25365,FIT,Yes,Petrol,34682,Automatic,4,11
17249,Prius,No,Hybrid,22400,Automatic,8,12
31361,Sonata,Yes,Petrol,62000,Tiptronic,12,10
4704,Elantra,Yes,Diesel,54279,Automatic,4,17
12720,Cruze,Yes,Petrol,135759,Automatic,4,13
26372,Tucson,Yes,Diesel,120534,Automatic,4,11
25591,Elantra,Yes,Petrol,140000,Automatic,4,10
6429,C 300,Yes,Petrol,108517,Automatic,12,14
39829,GX 460,Yes,Petrol,155821,Automatic,0,14
627,CHR,Yes,Petrol,24339,Automatic,12,5
8097,Lacetti,Yes,Petrol,130000,Automatic,4,15
12231,Insight,No,Hybrid,150000,Variator,12,14
9565,Sonata,Yes,LPG,42000,Automatic,4,9
24302,Malibu,Yes,Diesel,60618,Automatic,4,9
1960,Altima,Yes,Petrol,127918,Automatic,12,10
17249,Sonata,No,Petrol,77000,Tiptronic,10,8
24148,Prius,No,Hybrid,118000,Automatic,12,11
18817,Elantra,No,Petrol,85000,Tiptronic,12,9
10349,CT 200h,Yes,Hybrid,132563,Automatic,0,10
549,RX 350,Yes,Petrol,138211,Automatic,12,14
55823,Tucson,Yes,Diesel,38577,Automatic,4,6
25089,Camry,Yes,Petrol,132800,Tiptronic,12,11
18669,H1,Yes,Diesel,52686,Automatic,4,13
10660,FIT,Yes,Hybrid,76525,Automatic,4,10
37000,Tucson,Yes,Diesel,80000,Automatic,4,8
18826,REXTON,Yes,Diesel,186412,Automatic,4,13
18826,Actyon,Yes,Diesel,120000,Automatic,4,14
22649,Tucson,Yes,Diesel,142000,Automatic,4,13
16590,H1,Yes,Diesel,42415,Automatic,4,13
31988,Camry,No,Hybrid,51000,Automatic,12,10
8624,Lacetti,Yes,Petrol,19999,Automatic,4,15
21012,Camry,No,Hybrid,89000,Variator,0,9
10663,FIT,No,Hybrid,114000,Automatic,8,10
17249,Jetta,Yes,Petrol,55000,Tiptronic,10,9
17876,C-MAX,Yes,Hybrid,120000,Tiptronic,10,11
11604,FIT,No,Hybrid,157000,Tiptronic,2,14
14113,Jetta,Yes,Petrol,156800,Automatic,12,13
11917,FIT,No,Hybrid,188000,Automatic,8,13
12777,Sonata,Yes,Petrol,162558,Automatic,4,11
18817,Prius C,No,Hybrid,130000,Automatic,12,11
23521,Camry,Yes,Hybrid,83000,Variator,10,12
22580,Q5,Yes,Petrol,150400,Tiptronic,7,14
9722,Cruze,No,Petrol,121000,Tiptronic,10,10
11133,Camry,Yes,Hybrid,179381,Automatic,12,10
34184,E 350,Yes,Petrol,133000,Automatic,12,12
21169,Cruze,No,Petrol,25304,Automatic,8,6
7495,Captiva,Yes,Diesel,71486,Automatic,4,16
4861,CT 200h,Yes,Hybrid,95590,Automatic,12,13
13485,Sonata,Yes,LPG,72369,Automatic,4,9
81539,GX 460,Yes,Petrol,155976,Automatic,0,8
20005,Elantra,Yes,Petrol,147718,Automatic,4,12
627,CT 200h,Yes,Hybrid,192683,Automatic,0,12
12570,Lacetti,Yes,Petrol,152293,Automatic,4,14
14009,Aqua,Yes,Petrol,137350,Automatic,4,9
8311,GLA 250,Yes,Petrol,109555,Automatic,0,8
23521,Corolla,No,Petrol,40000,Automatic,16,10
21730,Elantra,Yes,LPG,32510,Automatic,4,7
80911,H1,Yes,Diesel,25541,Automatic,4,5
19369,Genesis,Yes,Petrol,153651,Automatic,4,13
25299,Tucson,Yes,Diesel,160000,Automatic,4,12
7213,Cruze,Yes,Diesel,28515,Automatic,12,6
6899,Aveo,Yes,Petrol,94923,Automatic,4,12
8154,X6,Yes,Petrol,147677,Automatic,12,13
18817,Prius,Yes,Hybrid,160000,Tiptronic,12,13
61499,Tucson,Yes,Diesel,1217,Automatic,4,5
17249,Prius,No,Hybrid,141000,Automatic,6,13
51225,Sonata,Yes,Petrol,58414,Automatic,4,7
49798,Santa FE,Yes,Diesel,93555,Automatic,4,9
17249,Elantra,Yes,Petrol,64800,Tiptronic,12,11
29166,Escape,Yes,Petrol,127000,Tiptronic,8,10
11604,Astra,No,Diesel,27000,Manual,8,18
627,Elantra,Yes,Petrol,47294,Automatic,12,6
2274,Insight,Yes,Hybrid,149970,Automatic,0,10
19444,Jetta,Yes,Petrol,102400,Automatic,8,9
43592,GLE 350,Yes,Petrol,39814,Automatic,0,7
15367,Prius,No,Hybrid,174000,Variator,8,15
4861,Highlander,Yes,Petrol,125605,Automatic,12,11
17876,C-MAX,No,Hybrid,128205,Automatic,10,12
36827,H1,Yes,Diesel,137000,Automatic,4,7
40340,Actyon,Yes,Diesel,59272,Automatic,4,8
25089,C 300,Yes,Petrol,86000,Tiptronic,12,12
18688,Santa FE,Yes,Diesel,143166,Automatic,4,13
28830,Elantra,Yes,Petrol,68243,Automatic,4,9
42337,GX 470,Yes,CNG,180000,Automatic,0,18
23834,Transit,No,Diesel,141000,Manual,2,12
16621,E 350,Yes,Diesel,119379,Automatic,12,13
11917,Elantra,Yes,Petrol,31691,Automatic,4,11
15994,Veloster,No,Petrol,73600,Manual,6,13
11917,Orlando,Yes,Diesel,79749,Automatic,4,12
18817,Camry,Yes,Hybrid,35058,Automatic,12,6
21953,Sonata,No,Hybrid,20000,Tiptronic,4,11
13808,Sonata,Yes,LPG,38206,Automatic,4,8
16151,Prius,No,Hybrid,110990,Automatic,8,12
22947,Tucson,Yes,Diesel,171344,Automatic,4,14
7840,CT 200h,Yes,Hybrid,65989,Automatic,0,11
25089,Camry,Yes,Petrol,125000,Tiptronic,12,10
5488,Camry,Yes,Hybrid,109798,Automatic,12,10
9722,Vitz,No,Petrol,130000,Automatic,4,12
16621,Genesis,Yes,Petrol,151977,Automatic,4,14
13956,RX 450,Yes,Hybrid,143619,Automatic,12,9
24415,Korando,Yes,Diesel,135490,Automatic,4,12
1725,Elantra,Yes,Petrol,107155,Automatic,12,10
549,Elantra,Yes,Petrol,140082,Automatic,12,10
10976,Corolla,No,Hybrid,100000,Variator,8,10
21285,Aqua,Yes,Petrol,52500,Automatic,4,11
706,GX 460,Yes,Petrol,102907,Automatic,0,9
862,Fusion,Yes,Hybrid,186048,Automatic,0,10
35570,Tucson,Yes,Diesel,97880,Automatic,4,7
8781,Prius C,No,Hybrid,175000,Automatic,10,12
24148,Tucson,Yes,Petrol,128000,Tiptronic,8,10
706,Prius,Yes,Hybrid,105328,Automatic,12,11
22580,Prius,Yes,Hybrid,160000,Automatic,10,10
4861,Camry,Yes,Hybrid,136861,Automatic,12,11
8154,FIT,No,Petrol,185000,Automatic,2,13
4861,Fusion,Yes,Hybrid,137328,Automatic,0,10
36065,X5,Yes,Petrol,129600,Tiptronic,12,13
17876,CHR,Yes,Petrol,19968,Automatic,12,5
24775,Fusion,Yes,Petrol,46000,Tiptronic,8,11
15257,Sonata,Yes,Petrol,163374,Automatic,4,13
22825,Orlando,Yes,Diesel,137433,Automatic,4,12
16935,CT 200h,Yes,Hybrid,94949,Automatic,0,9
20385,Mustang,Yes,Petrol,111111,Manual,12,11
38213,Civic,Yes,Petrol,0,Automatic,4,6
44134,Actyon,Yes,Diesel,48910,Automatic,4,8
9565,Civic,Yes,Petrol,58282,Automatic,12,7
12544,Jetta,Yes,Petrol,110000,Tiptronic,6,14
10663,FIT,Yes,Hybrid,127000,Variator,2,13
44247,Santa FE,Yes,Diesel,153958,Automatic,4,9
19444,Jetta,No,Petrol,36000,Tiptronic,6,8
54157,Civic,Yes,Petrol,78006,Automatic,4,9
49889,Tucson,Yes,Diesel,71867,Automatic,4,8
9408,Prius,No,Hybrid,113000,Automatic,8,17
22894,Camry,No,Petrol,101000,Tiptronic,10,11
5604,Lacetti,Yes,Petrol,44521,Automatic,4,15
17876,Fiesta,Yes,Petrol,160000,Tiptronic,4,11
18189,Elantra,Yes,Petrol,136000,Tiptronic,8,12
10976,FIT,No,Hybrid,121000,Variator,0,10
40769,RAV 4,No,Petrol,99200,Tiptronic,10,8
22894,328,Yes,Petrol,157000,Tiptronic,8,14
784,GX 460,Yes,Petrol,129931,Automatic,0,9
51746,RAV 4,Yes,Petrol,34454,Automatic,12,7
27654,Elantra,Yes,Petrol,87534,Automatic,4,9
17719,Optima,Yes,Petrol,91000,Automatic,8,11
14081,H1,Yes,Diesel,124850,Automatic,4,14
706,A4,Yes,Petrol,162032,Automatic,0,10
23994,Orlando,Yes,Diesel,125774,Automatic,4,8
14740,Prius,No,Hybrid,161000,Variator,11,13
59586,RAV 4,No,Petrol,32000,Automatic,10,7
18817,Prius,Yes,Hybrid,80000,Tiptronic,12,8
11563,Elantra,Yes,Petrol,130814,Automatic,4,14
45376,Santa FE,Yes,Diesel,109446,Automatic,4,8
33707,Tucson,Yes,Diesel,143544,Automatic,4,7
17876,Elantra,No,Petrol,84800,Tiptronic,8,11
44247,H1,Yes,Diesel,51831,Automatic,4,8
71503,Camry,No,Hybrid,3000,Tiptronic,8,5
4077,GX 460,Yes,Petrol,150909,Automatic,0,12
3763,Tacoma,Yes,Petrol,174827,Automatic,12,7
6586,A4,Yes,Petrol,123640,Automatic,12,10
47042,Q5,Yes,Petrol,75186,Automatic,0,7
5865,Lacetti,Yes,Diesel,39031,Automatic,4,15
20883,Actyon,Yes,Diesel,102000,Automatic,4,13
25402,REXTON,Yes,Diesel,67861,Automatic,4,10
9095,FIT,No,Hybrid,14590,Automatic,0,13
2666,Elantra,Yes,Petrol,89962,Automatic,12,11
87497,Camry,Yes,Petrol,25000,Tiptronic,12,5
5018,Camry,Yes,Hybrid,190549,Automatic,12,11
20005,Elantra,Yes,Petrol,36239,Automatic,4,12
5018,Camry,Yes,Hybrid,190549,Automatic,12,11
13068,Actyon,Yes,Diesel,127500,Automatic,4,14
14113,Focus,No,Petrol,2012,Tiptronic,12,12
16465,C-MAX,No,Plug-in Hybrid,0,Automatic,0,8
6899,Lacetti,Yes,Petrol,50549,Automatic,4,15
17249,Sonata,Yes,LPG,72000,Tiptronic,0,13
10192,Lacetti,Yes,Petrol,46527,Automatic,4,14
39201,Highlander,Yes,Hybrid,166560,Automatic,12,10
36235,Civic,Yes,Petrol,87000,Automatic,4,11
22843,Korando,Yes,Diesel,125926,Automatic,4,12
21699,Malibu,Yes,Petrol,65006,Automatic,4,12
25299,Tucson,Yes,Diesel,134312,Automatic,4,13
40142,328,Yes,Petrol,74000,Tiptronic,12,10
19124,FIT,Yes,Hybrid,94500,Automatic,4,11
11917,Captiva,Yes,Diesel,61232,Automatic,4,14
11604,Spark,Yes,Petrol,31970,Automatic,4,8
18503,Elantra,No,Petrol,117000,Tiptronic,8,11
14113,Aqua,No,Hybrid,111111,Automatic,4,12
1019,GLA 250,Yes,Petrol,37786,Automatic,0,9
32035,REXTON,Yes,Diesel,152847,Automatic,4,11
14376,Santa FE,Yes,Diesel,78305,Automatic,4,13
5488,Elantra,Yes,Petrol,29496,Automatic,12,5
18817,Prius,No,Hybrid,1000,Variator,12,12
38888,RAV 4,No,Petrol,50000,Automatic,10,7
35438,GX 470,Yes,Petrol,146000,Automatic,8,16
1019,Tucson,Yes,Petrol,0,Automatic,0,9
7150,FIT,No,Petrol,129000,Automatic,4,12
9408,March,No,Petrol,97524,Automatic,2,14
59272,ML 350,Yes,Diesel,131000,Automatic,10,12
20385,C-MAX,Yes,Hybrid,62000,Automatic,8,10
14426,Elantra,No,Petrol,195200,Tiptronic,12,13
6144,Captiva,Yes,Diesel,68075,Automatic,4,17
15994,E 350,Yes,Diesel,170429,Automatic,12,13
11133,Optima,Yes,Hybrid,88000,Automatic,10,10
18189,RAV 4,No,Diesel,198000,Manual,4,18
1333,Focus,Yes,Petrol,107664,Automatic,12,6
26030,Volt,Yes,Hybrid,52062,Automatic,0,7
81539,GX 460,Yes,Petrol,76800,Tiptronic,0,11
5802,Volt,Yes,Hybrid,0,Automatic,12,11
8624,Cruze,Yes,Diesel,62649,Automatic,4,12
21953,Elantra,Yes,Petrol,77600,Tiptronic,12,8
15681,Focus,Yes,Petrol,90000,Tiptronic,9,9
21181,Tucson,Yes,Diesel,168126,Automatic,4,14
27284,Volt,No,Plug-in Hybrid,65000,Automatic,10,10
39458,Actyon,Yes,Diesel,70259,Automatic,4,8
31581,H1,Yes,Diesel,96893,Automatic,4,10
20385,Prius,No,Hybrid,134720,Variator,6,11
12287,Elantra,Yes,Petrol,39079,Automatic,4,17
2822,Corolla,Yes,Petrol,39254,Automatic,12,5
16283,Sonata,Yes,LPG,55225,Automatic,4,8
71503,GX 460,Yes,Petrol,111000,Automatic,12,11
27654,Tucson,Yes,Diesel,84154,Automatic,4,14
16123,Genesis,Yes,Petrol,123187,Automatic,4,14
11917,I30,Yes,Diesel,78807,Automatic,4,12
9565,A7,Yes,Petrol,191373,Automatic,0,10
17876,C-MAX,Yes,Plug-in Hybrid,163000,Tiptronic,12,10
3763,ML 350,Yes,Petrol,94362,Automatic,12,10
19864,Elantra,Yes,Diesel,52313,Automatic,4,9
13642,H1,Yes,Diesel,75631,Automatic,4,15
706,Camry,Yes,Petrol,132165,Automatic,12,12
17249,Elantra,No,Petrol,84291,Automatic,0,9
11604,Focus,No,Petrol,68000,Automatic,8,12
10663,H1,Yes,Diesel,85241,Automatic,4,15
20278,Malibu,Yes,Petrol,156666,Automatic,4,11
25083,Elantra,Yes,Diesel,133200,Automatic,4,8
2430,E 350,Yes,Diesel,175614,Automatic,12,16
38574,Vito,Yes,Diesel,145000,Tiptronic,8,13
15524,Tucson,Yes,Diesel,52303,Automatic,4,11
34607,H1,Yes,Diesel,27000,Automatic,4,10
18817,Elantra,Yes,Hybrid,60000,Variator,8,13
14113,Prius,No,Hybrid,169000,Automatic,12,14
10506,Aqua,No,Hybrid,87000,Automatic,2,10
18189,328,Yes,Petrol,142152,Automatic,12,12
13172,A6,Yes,Petrol,0,Automatic,12,7
44558,Santa FE,Yes,Diesel,120337,Automatic,4,8
21326,Accent,No,Petrol,80000,Tiptronic,6,8
30596,Elantra,Yes,Petrol,71672,Automatic,4,8
28241,Elantra,Yes,Petrol,50015,Automatic,4,11
1019,RX 450,Yes,Hybrid,138038,Automatic,12,11
8311,Cr-v,Yes,Petrol,106312,Automatic,12,14
38445,Tucson,Yes,Diesel,94558,Automatic,4,8
9722,Aqua,No,Hybrid,107000,Automatic,8,12
43905,RAV 4,No,Petrol,67000,Tiptronic,8,8
27356,Elantra,Yes,Diesel,90000,Automatic,4,10
15173,Cruze,Yes,Petrol,108901,Automatic,4,13
14426,Juke,Yes,Petrol,110531,Automatic,0,11
15681,Focus,No,Petrol,192000,Tiptronic,8,12
25669,Aqua,Yes,Petrol,105000,Automatic,4,11
862,Volt,Yes,Hybrid,133195,Automatic,0,10
14740,Cruze,No,Petrol,78000,Tiptronic,6,11
37580,Santa FE,Yes,Diesel,95200,Automatic,4,9
42369,Sonata,Yes,Petrol,60304,Automatic,4,9
15681,Sonata,Yes,LPG,195432,Automatic,4,8
16308,Jetta,No,Petrol,94400,Tiptronic,8,11
30000,X-Trail,Yes,Petrol,18794,Automatic,12,6
31913,Santa FE,Yes,Diesel,80758,Automatic,4,11
15681,Passat,Yes,Petrol,154000,Tiptronic,10,12
57030,Aqua,Yes,Petrol,5000,Automatic,4,6
14009,Aqua,Yes,Hybrid,120570,Automatic,4,12
14113,Cruze,Yes,Diesel,164800,Tiptronic,10,10
35269,Tucson,Yes,Diesel,140000,Automatic,4,8
2195,CHR,Yes,Petrol,22816,Automatic,12,6
12544,Cruze,No,Petrol,88886,Automatic,0,10
14740,Cruze,No,Petrol,80000,Automatic,8,11
48575,Sonata,Yes,Petrol,64652,Automatic,4,7
15367,Tucson,Yes,Diesel,73326,Automatic,4,13
52696,Sonata,Yes,Petrol,48042,Automatic,4,8
47042,E 350,Yes,Diesel,80000,Tiptronic,12,13
15367,Prius,Yes,Hybrid,147000,Automatic,10,14
16935,Cruze,No,Petrol,15333,Automatic,8,6
4180,Lacetti,Yes,Petrol,159634,Automatic,4,15
19757,Elantra,No,Petrol,113600,Tiptronic,6,8
12858,Prius,No,Hybrid,176000,Automatic,4,17
11290,Tiida,No,Petrol,60000,Automatic,6,12
44711,Santa FE,Yes,Diesel,146492,Automatic,4,8
2666,Fusion,Yes,Hybrid,100747,Automatic,0,9
13172,Spark,Yes,Petrol,33118,Automatic,4,7
13328,RX 450,Yes,Hybrid,186005,Automatic,12,14
5331,Cr-v,Yes,Petrol,80288,Automatic,12,9
19610,Genesis,Yes,Petrol,104022,Automatic,4,14
35234,Compass,Yes,Petrol,40056,Automatic,4,13
15053,Sonata,No,Petrol,0,Automatic,0,9
21326,CT 200h,Yes,Hybrid,98000,Automatic,10,12
14740,Fusion,No,Petrol,41000,Tiptronic,12,8
41387,H1,Yes,Diesel,110189,Automatic,4,8
14113,Forester,No,Petrol,118500,Tiptronic,6,13
54882,RAV 4,No,Petrol,188800,Automatic,4,8
8467,Tiida,Yes,Petrol,105000,Variator,4,17
58507,Tucson,Yes,Diesel,29709,Automatic,4,6
53317,Aqua,Yes,Petrol,28000,Automatic,4,9
3293,Prius,Yes,Hybrid,153235,Automatic,12,11
42987,Sonata,Yes,Petrol,52878,Automatic,4,9
706,Camry,Yes,Hybrid,115312,Automatic,12,10
24462,Malibu,No,Petrol,73450,Tiptronic,12,8
9722,FIT,No,Petrol,185000,Manual,2,18
20266,Elantra,Yes,Petrol,160156,Automatic,4,12
13000,Optima,Yes,Petrol,0,Tiptronic,0,11
7213,Camry,Yes,Hybrid,131400,Automatic,12,11
33243,Tucson,Yes,Diesel,110000,Automatic,4,8
31831,RX 400,Yes,Hybrid,175000,Automatic,12,16
40340,REXTON,Yes,Diesel,146978,Automatic,4,8
56509,Civic,Yes,Petrol,17741,Automatic,4,6
17923,Malibu,Yes,Petrol,124590,Automatic,4,12
8938,C-MAX,No,Hybrid,144000,Automatic,6,12
29793,535,Yes,Petrol,179554,Tiptronic,6,14
3450,Camry,Yes,Hybrid,9626,Automatic,12,5
15210,Aqua,No,Hybrid,139000,Variator,2,10
9722,Focus,No,Petrol,105000,Automatic,6,10
14426,Sportage,Yes,Diesel,65000,Tiptronic,5,12
34811,RX 450,Yes,Hybrid,0,Automatic,12,8
25810,Santa FE,Yes,Diesel,196764,Automatic,4,12
5175,Corolla,Yes,Petrol,196010,Automatic,12,10
